date,open,high,low,close,volume
2024-09-03,1398.0000,1414.9800,1393.0200,1410.0000,1788760
2024-09-04,1402.0000,1419.1899,1399.7400,1400.0000,1421109
2024-09-05,1400.5000,1407.0000,1397.0000,1404.8800,1450295
2024-09-06,1405.0000,1406.0000,1398.0000,1398.0000,1032104
2024-09-09,1380.0100,1393.7100,1370.0800,1375.0000,2863755
2024-09-10,1370.0200,1393.0000,1370.0200,1378.0000,1980284
2024-09-11,1375.6000,1385.8800,1365.0000,1380.0000,2099577
2024-09-12,1380.0000,1385.0000,1334.9100,1335.0601,4794831
2024-09-13,1331.0000,1332.0000,1297.3000,1304.1300,5600511
2024-09-18,1300.0000,1300.0100,1266.6600,1266.9000,4618531
2024-09-19,1262.0000,1292.8800,1245.8300,1261.0000,5998821
2024-09-20,1261.5000,1273.9000,1250.0300,1263.9200,3998184
2024-09-23,1268.0000,1293.5000,1260.6600,1261.5400,4554969
2024-09-24,1285.0900,1373.0000,1265.0900,1372.6000,10041281
2024-09-25,1400.0500,1427.0000,1396.7100,1399.0000,7395380
2024-09-26,1399.9600,1529.8700,1396.0000,1529.0000,9727806
2024-09-27,1600.0000,1629.2000,1565.3600,1629.2000,8792167
2024-09-30,1692.0000,1759.8800,1652.0000,1748.0000,15729341
2024-10-08,1910.0000,1910.0000,1680.1801,1723.0000,19470947
2024-10-09,1700.0000,1700.0000,1590.0000,1595.1500,12019684
2024-10-10,1622.2600,1668.0800,1591.0000,1640.0000,7460342
2024-10-11,1615.4000,1639.9600,1590.0000,1604.9900,4191471
2024-10-14,1613.0000,1620.6300,1581.1700,1601.9900,4481202
2024-10-15,1599.0000,1600.9900,1553.0100,1554.2500,4357143
2024-10-16,1540.8800,1549.8000,1510.0000,1522.5000,4666440
2024-10-17,1537.0000,1537.6600,1493.4100,1494.6000,3945955
2024-10-18,1493.0000,1567.8400,1478.9600,1541.0000,6861930
2024-10-21,1541.2100,1549.9700,1521.2100,1528.8000,4200790
2024-10-22,1526.5601,1560.1801,1524.2000,1543.0000,3626913
2024-10-23,1544.1100,1576.9500,1532.0000,1567.5000,4008846
2024-10-24,1561.0000,1575.0000,1545.0100,1552.2000,2392280
2024-10-25,1547.0000,1574.7900,1546.0100,1558.8500,2774508
2024-10-28,1560.0000,1565.0000,1522.2300,1565.0000,3912140
2024-10-29,1560.0000,1580.0000,1530.0000,1531.6200,4116578
2024-10-30,1525.0000,1551.1899,1523.4100,1532.0000,3200574
2024-10-31,1532.1500,1540.0000,1520.0000,1527.7900,2995735
2024-11-01,1521.0000,1545.1300,1520.8000,1533.7500,3228392
2024-11-04,1544.9301,1550.0000,1528.0601,1548.2000,2909292
2024-11-05,1540.0000,1577.7000,1536.0100,1576.9900,4564047
2024-11-06,1575.0000,1588.9900,1561.2200,1571.0000,3763143
2024-11-07,1562.4600,1653.5000,1562.3000,1649.1400,7473872
2024-11-08,1660.8900,1667.1100,1601.0100,1609.9700,6077120
2024-11-11,1590.0000,1609.9500,1567.1899,1598.0100,4385365
2024-11-12,1589.0000,1623.0000,1573.9500,1577.2000,4922266
2024-11-13,1568.0000,1586.6600,1561.2800,1578.5000,2912526
2024-11-14,1570.0000,1594.4500,1565.6500,1573.8000,2924814
2024-11-15,1569.0000,1581.0000,1553.0000,1559.0000,3376112
2024-11-18,1562.0000,1575.9900,1555.0000,1559.0000,2709219
2024-11-19,1565.0000,1569.3700,1525.0000,1541.9200,3326643
2024-11-20,1543.0000,1553.9700,1531.3000,1544.8101,2134455
2024-11-21,1543.8700,1548.9900,1532.0000,1545.1300,1826179
2024-11-22,1541.1500,1547.7700,1507.8199,1507.8199,3343611
2024-11-25,1511.0000,1532.0000,1496.6700,1498.5699,3318556
2024-11-26,1498.5699,1518.8800,1488.8800,1509.0000,2574479
2024-11-27,1509.0000,1522.1500,1505.0000,1519.0500,2593417
2024-11-28,1522.0000,1524.9900,1502.0000,1518.0000,2395203
2024-11-29,1517.0000,1555.0000,1513.2100,1525.7400,3608810
2024-12-02,1526.0000,1529.9900,1515.1000,1525.0000,2681954
2024-12-03,1524.0000,1528.9000,1516.0800,1526.7400,2480662
2024-12-04,1520.0699,1523.6600,1510.0000,1520.0000,2392389
2024-12-05,1510.8600,1517.8600,1510.0000,1511.0000,1614147
2024-12-06,1513.0000,1538.9000,1508.0699,1521.0100,3203969
2024-12-09,1522.0200,1529.7200,1513.2000,1518.8000,1979986
2024-12-10,1570.0000,1579.7300,1545.1801,1546.5900,6031210
2024-12-11,1540.0000,1555.0000,1530.9800,1535.6000,2967112
2024-12-12,1532.0200,1566.0000,1529.0000,1565.8000,4193652
2024-12-13,1550.0100,1554.9900,1518.8800,1519.0000,4951197
2024-12-16,1521.0000,1529.0000,1510.7100,1527.2000,3253710
2024-12-17,1525.9900,1569.0000,1521.0100,1558.0000,5417163
2024-12-18,1557.9700,1577.0000,1547.1000,1571.5000,4116226
2024-12-19,1565.1400,1567.9301,1550.3300,1551.0100,2480932
2024-12-20,1531.1300,1541.8000,1520.0200,1522.0000,2815774
2024-12-23,1523.0000,1538.0000,1517.0000,1526.4500,2160269
2024-12-24,1525.0000,1544.0000,1521.5900,1538.8199,2210492
2024-12-25,1538.8000,1538.8000,1526.1000,1530.0000,1712339
